Full dissertation paper number,Dissertation Abstract Number,Paper Title
1,99,"Bliss, Lawrence Allen, ""Selecting artificial neural network inputs using particle swarm optimization"" (2003). ETD Collection for Pace University. AAI3106822. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3106822"
2,32,"Boehm, Raymond E, ""An Approach to Early Lifecycle Estimating for Agile Projects"" (2012). ETD Collection for Pace University. AAI3496372. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3496372
3,96,"Diaz, Rigoberto, ""Solving a class of time -dependent combinatorial optimization problems with abstraction, transformation and simulated annealing"" (2004). ETD Collection for Pace University. AAI3127380. Retrieved from: "
,, https://digitalcommons.pace.edu/dissertations/AAI3127380
4,49,"Joshua, Satty Oyekake, ""A three-prong network solution approach: A sustainable business case centered approach in networking convergence"" (2007). ETD Collection for Pace University. AAI3251975.  Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3251975
5,20,"Joshua, Satty Oyekake, ""A three-prong network solution approach: A sustainable business case centered approach in networking convergence"" (2007). ETD Collection for Pace University. AAI3251975. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3251975
6,75,"Chang, Hsiauh-Tsyr Clara, ""Optimized software component allocation on clustered application servers"" (2004). ETD Collection for Pace University. AAI3127378. Retrieved from:  https://digitalcommons.pace.edu/dissertations/AAI3127378"
7,56,"Golikov, Steven, ""Integrated Syntactic/Semantic XML Data Validation with a Reusable Software Component"" (2013). ETD Collection for Pace University. AAI3536869.  Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3536869"
8,71,"Ganis, Matthew Robert, ""A study of the agile whole team and its effectiveness in the software development process"" (2009). ETD Collection for Pace University. AAI3514638. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3514638
9,86,"Morales, Peter J, ""A computational econometric modeling technique for the parametric simulation of effort and duration estimation as applied to the development of software systems"" (2011). ETD Collection for Pace University. AAI3491863. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3491863
10,13,"Smith, Renel, ""Gameplay to introduce and reinforce requirements engineering good practices"" (2009). ETD Collection for Pace University. AAI3367218. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3367218
11,76,"Choi, Seung-Seok (Seung), ""Correlation analysis of binary similarity and dissimilarity measures"" (2008). ETD Collection for Pace University. AAI3336169. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3336169
12,82,"Mannette-Wright, Anne I, ""A feasibility study of ontology-based automatic document transformation"" (2009). ETD Collection for Pace University. AAI3374713. Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3374713"
13,5,"Stewart, John Cary, ""An Evaluation of the Application of Stylometry and the Keystroke Biometric to Identity Verification of Online Test-Takers"" (2013). ETD Collection for Pace University. AAI3536279. "
,,Retrieved from: https://digitalcommons.pace.edu/dissertations/AAI3536279
14,77,"Purba, Josua Bisuk Mubyarto, ""Dynamic Sub-Channel Allocation in OFDMA Systems"" (2012). ETD Collection for Pace University. AAI3530007. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3530007
15,46,"Gisonti, Vincent, ""The Role of Technology Coping and Habit in Information System Utilization"" (2015). ETD Collection for Pace University. AAI3727330. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3727330
16,48,"Cicoria, Shawn, ""Qualitative Analysis of Application Migration to the Public Cloud and Framework for Application Architecture Migration Risks"" (2017). ETD Collection for Pace University. AAI10281300. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10281300
17,40,"Jean-Baptiste, Hevel, ""A distributed architecture for U-messaging systems"" (2002). ETD Collection for Pace University. AAI3118355. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3118355
18,9,"Thomas, Carlos A, ""Assessing the Factors that Determine Compliance with the Federal Information Security Management Act (FISMA)"" (2012). ETD Collection for Pace University. AAI3504745."
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3504745
19,112,"Boyd, Andrew W, ""A Longitudinal Study of Social Media Privacy Behavior"" (2011). ETD Collection for Pace University. AAI3464297. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3464297
20,67,"Himmel, Maria Azua, ""Qualitative Analysis of Cloud Computing Risks and Framework for the Rationalization and Mitigation of Cloud Risks"" (2012). ETD Collection for Pace University. AAI3520142. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3520142
21,47,"Hernandez, Karina J, ""Reasoning and learning under uncertainty using dynamic probabilistic models for real time problem determination"" (2004). ETD Collection for Pace University. AAI3145958. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3145958
22,61,"Hubert, Rita, ""Usability field study of older adults using multi-modal home health monitoring devices"" (2006). ETD Collection for Pace University. AAI3225086. Retrieved from: "
23,16,"Zack, Robert S, ""An improved k-NN classification method with application to keystroke biometric authentication"" (2010). ETD Collection for Pace University. AAI3420671. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3420671
24,50,"Clapsaddle, Donna J, ""Measuring usability: Categorically modeling successful Websites using established metrics"" (2004). ETD Collection for Pace University. AAI3136152. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3136152
25,70,"Curtin, Mary C, ""Long-text keystroke biometric applications over the Internet"" (2006). ETD Collection for Pace University. AAI3214522. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3214522
26,52,"Johnson, Melanie, ""Multi-project staffing: An agile based framework"" (2008). ETD Collection for Pace University. AAI3337583. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3337583
27,110,"Bassett, Richard A, ""Computer-based objective interactive numismatic system"" (2003). ETD Collection for Pace University. AAI3106821. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3106821
28,90,"Sette, Maria, ""A Semantic Approach to Intelligent and Personal Tutoring System"" (2017). ETD Collection for Pace University. AAI10256334. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10256334
29,98,"Alipui, Gilbert, ""Reducing Complexity of Diagnostic Message Pattern Specification and Recognition with Semantic Techniques"" (2016). ETD Collection for Pace University. AAI10139272. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10139272
30,28,"Lombardi, Thomas Edward, ""The classification of style in fine-art painting"" (2005). ETD Collection for Pace University. AAI3189084. "
,,Retrieved from: 
,,https://digitalcommons.pace.edu/dissertations/AAI3189084
31,103,"Alexandrou, Alex, ""A security risk perception model for the adoption of mobile devices in the healthcare industry"" (2016). ETD Collection for Pace University. AAI10097933. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI10097933
32,6,"Weaver, Daniel Scott, ""Prospective Students' Reactions to the Presentation of the Computer Science Major"" (2010). ETD Collection for Pace University. AAI3446780. Retrieved from: "
,,https://digitalcommons.pace.edu/dissertations/AAI3446780
